noteId	noteAuthorParticipantId	createdAtMillis	timestampMillisOfFirstNonNMRStatus	firstNonNMRStatus	timestampMillisOfCurrentStatus	currentStatus	timestampMillisOfLatestNonNMRStatus	mostRecentNonNMRStatus	timestampMillisOfStatusLock	lockedStatus	timestampMillisOfRetroLock	currentCoreStatus	currentExpansionStatus	currentGroupStatus	currentDecidedBy	currentModelingGroup	timestampMillisOfMostRecentStatusChange	timestampMillisOfNmrDueToMinStableCrhTime	currentMultiGroupStatus	currentModelingMultiGroup	timestampMinuteOfFinalScoringOutput	timestampMillisOfFirstNmrDueToMinStableCrhTime
1798638098865139789	F9DDA770486ED9ABE232B4FB9317B2DE61E511230D6504D18EA4EC0F9F8AECEF	1717663714506			1724694702420	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS					CoreModel (v1.1)		-1				28791470	
1798638211058864185	45E3B49059CB2C6BFDDB4BB147C284E8125BC4C45A1CD7BD458CDB95243B906D	1717663741254			1721920068424	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS		NEEDS_MORE_RATINGS	NEEDS_MORE_RATINGS		CoreModel (v1.1)		-1				28791470	
1798638402734059793	5C1B0A2FDB72D2D143C1EC29DA35B7A8DF1EC3EFD0FF05C5653B8A2194E9855E	1717663786954			1723042600983	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS					CoreModel (v1.1)		-1				28791470	
1798638535131779300	2E92945923B9733BCFF3CBA06564E371242895BA09A31035FFE48EB65693541A	1717663818519			1721920068424	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS		NEEDS_MORE_RATINGS	NEEDS_MORE_RATINGS	NEEDS_MORE_RATINGS	CoreModel (v1.1)	14	-1				28791470	
1798638568019222532	CA77AA4B5FE6E18697E2C74CAA6255A1D10311EC2AB9F81305231FCA40FC7BD2	1717663826363	1717692722854	CURRENTLY_RATED_NOT_HELPFUL	1723007622102	NEEDS_MORE_RATINGS	1717692722854	CURRENTLY_RATED_NOT_HELPFUL	1718876478700	NEEDS_MORE_RATINGS			CURRENTLY_RATED_NOT_HELPFUL		CoreModel (v1.1)		-1				28791470	
1798638646008188972	4D44CC205B086AEE4AF9BE3722AD7B79B288EE2BBA889B282B326DBF69D689C9	1717663844955			1721920068424	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS		NEEDS_MORE_RATINGS	NEEDS_MORE_RATINGS		CoreModel (v1.1)		-1				28791470	
1798638761229611200	57175C9A497861174F86BB3D6416D6CD5F9E7F43B67D6624B58F2AE3CDF0D6E3	1717663872427			1721920068424	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS		NEEDS_MORE_RATINGS	NEEDS_MORE_RATINGS	NEEDS_MORE_RATINGS	CoreModel (v1.1)	3	-1				28791470	
1798638898555519406	C766729C66167FAAC1B740A5AE1C904D7AB41BC9BE3C8A182E3824F03C640AF7	1717663905167			1725037572328	NEEDS_MORE_RATINGS			1718876478700	NEEDS_MORE_RATINGS					CoreModel (v1.1)		-1				28791470	
1798639007921807589	3D156DF4D1E4BB732F6C6914EA8C06516B89FAF2750E249EAD292D33C808BE0D	1717663931242	1717754451401	CURRENTLY_RATED_HELPFUL	1721920068424	NEEDS_MORE_RATINGS	1717754451401	CURRENTLY_RATED_HELPFUL							ExpansionPlusModel (v1.1)		-1				28791470	
1798639203670184367	4A1611D352FA747E30B0D7D0CA14455985CFD966C4FA52B9786C1E6F2338CB6E	1717663977912			1721920068424	NEEDS_MORE_RATINGS									ExpansionPlusModel (v1.1)		-1				28791470	
