en,ja
European Union,欧州連合
coronavirus,コロナウイルス
Crimea,クリミア
Coup,クーデター
Sanctions,制裁
Terrorism,テロ
Sovereignty,主権
Eastern Ukraine,ウクライナ東部
Syrian War,シリア戦争
Chemical weapons/attack,化学兵器/攻撃
Elections,選挙
Protest,抗議する
WWII,第二次世界大戦
Manipulated elections/referendum,操作された選挙/国民投票
Vladimir Putin,ウラジーミル・プーチン
Migration crisis,移民の危機
Ukrainian disintegration,ウクライナ崩壊
Nuclear issues,核問題
Imperialism/colonialism,帝国主義・植民地主義
Economic difficulties,経済的困難
vaccination,予防接種
Biological weapons,生物兵器
Donald Trump,ドナルド・トランプ
election meddling,選挙介入
Media,メディア
security threat,セキュリティ上の脅威
Joe Biden,ジョー・バイデン
Human rights,人権
Democracy,民主主義
Propaganda,プロパガンダ
Civil war,内戦
Freedom of speech,言論の自由
Military exercise,軍事演習
LGBT,LGBT
Information war,情報戦
Genocide,大量虐殺
Sputnik V,スプートニクV
economy,経済
War crimes,戦争犯罪
Intelligence services,諜報機関
Energy,エネルギー
Occupation,職業
UN,国連
migration,移民・移住
Corruption,腐敗
laboratory,研究室
Censorship,検閲
Refugees,難民
fake news,フェイクニュース
scam,詐欺
technology,テクノロジー
welfare,福祉
mobility,交通
travel,観光
fashion,ファッション
mental health,メンタルヘルス
anime,アニメ
AI,AI
climate change,気候変動
food,食品
tax,税金
drugs,薬物
US presidential election,米国大統領選挙
